CUE, TARGET, NORMED?, #G, #P, FSG
AFFAIR, ROMANCE, YES,148,3,0.02
AFFAIR, WRONG, YES,148,3,0.02
AFFAIR, CURRENT, YES,148,2,0.014
AFFAIR, DIVORCE, YES,148,2,0.014
AFFAIR, HAPPENING, YES,148,2,0.014
AFFAIR, INFIDELITY, NO,148,2,0.014
AFFAIR, LUST, YES,148,2,0.014
AFFAIR, WOMAN, YES,148,2,0.014
AFFECT, EFFECT, YES,152,34,0.224
AFFECT, CAUSE, YES,152,20,0.132
AFFECT, BOTHER, YES,152,10,0.066
AFFECT, CHANGE, YES,152,10,0.066
AFFECT, INFLUENCE, YES,152,5,0.033
AFFECT, FEELING, YES,152,4,0.026
AFFECT, DEFECT, NO,152,3,0.02
AFFECT, HARM, YES,152,3,0.02
AFFECT, EFFORT, YES,152,2,0.013
AFFECT, EMOTION, YES,152,2,0.013
AFFECT, HURT, YES,152,2,0.013
AFFECT, IMPACT, YES,152,2,0.013
AFFECT, PLUG, YES,152,2,0.013
AFFECT, RESPONSE, YES,152,2,0.013
AFFECT, RESULT, YES,152,2,0.013
AFFECT, TOUCH, YES,152,2,0.013
AFFECTION, LOVE, YES,150,120,0.8
AFFECTION, HUG, YES,150,6,0.04
AFFECTION, CARE, YES,150,4,0.027
AFFECTION, KISS, YES,150,2,0.013
AFFECTION, LUST, YES,150,2,0.013
AFFECTION, SHOW, YES,150,2,0.013
AFRAID, SCARE, YES,144,87,0.604
AFRAID, FEAR, YES,144,11,0.076
AFRAID, DARK, YES,144,6,0.042
AFRAID, FRIGHT, YES,144,3,0.021
AFRAID, GHOST, YES,144,3,0.021
AFRAID, ALONE, YES,144,2,0.014
AFRAID, BRAVE, YES,144,2,0.014
AFRAID, QUIET, YES,144,2,0.014
AFRAID, RUN, YES,144,2,0.014
AFRICA, CONTINENT, YES,145,34,0.234
AFRICA, BLACK, YES,145,21,0.145
AFRICA, COUNTRY, YES,145,11,0.076
AFRICA, APARTHEID, NO,145,9,0.062
AFRICA, JUNGLE, YES,145,7,0.048
AFRICA, HOT, YES,145,5,0.034
AFRICA, SOUTH, YES,145,5,0.034
AFRICA, ASIA, YES,145,4,0.028
AFRICA, ANIMALS, YES,145,3,0.021
AFRICA, DESERT, YES,145,3,0.021
AFRICA, ELEPHANT, YES,145,3,0.021
AFRICA, EXOTIC, NO,145,2,0.014
AFRICA, FREEDOM, YES,145,2,0.014
AFRICA, GREEN, YES,145,2,0.014
AFRICA, LION, YES,145,2,0.014
AFRICA, POOR, YES,145,2,0.014
AFTER, BEFORE, YES,154,88,0.571
AFTER, LATER, NO,154,18,0.117
AFTER, NOON, YES,154,13,0.084
AFTER, DARK, YES,154,5,0.032
AFTER, MATH, YES,154,4,0.026
AFTER, NOW, YES,154,3,0.019
AFTER, HOURS, YES,154,2,0.013
AFTER, MORNING, YES,154,2,0.013
AFTER, POST, YES,154,2,0.013
AFTER, TOMORROW, YES,154,2,0.013
AFTERNOON, NIGHT, YES,146,21,0.144
AFTERNOON, EVENING, YES,146,18,0.123
AFTERNOON, HOT, YES,146,15,0.103
AFTERNOON, SUN, YES,146,11,0.075
AFTERNOON, LUNCH, YES,146,10,0.068
AFTERNOON, MORNING, YES,146,10,0.068
AFTERNOON, DAY, YES,146,8,0.055
AFTERNOON, NAP, YES,146,6,0.041
AFTERNOON, MIDDAY, NO,146,4,0.027
AFTERNOON, SUNNY, YES,146,4,0.027
AFTERNOON, DAYTIME, NO,146,3,0.021
AFTERNOON, SOAP, YES,146,3,0.021
AFTERNOON, CLASS, YES,146,2,0.014
AFTERNOON, HOME, YES,146,2,0.014
AFTERNOON, LATE, YES,146,2,0.014
AFTERNOON, MIDNIGHT, YES,146,2,0.014
AFTERNOON, OFF, YES,146,2,0.014
AFTERNOON, SUNDAY, YES,146,2,0.014
AFTERNOON, SUNSET, YES,146,2,0.014
AFTERNOON, TIRED, YES,146,2,0.014
AGAIN, REPEAT, YES,152,51,0.336
AGAIN, OVER, YES,152,17,0.112
AGAIN, NEVER, YES,152,10,0.066
AGAIN, AGAIN, YES,152,7,0.046
AGAIN, STOP, YES,152,5,0.033
AGAIN, RE-DO, NO,152,4,0.026
AGAIN, TRY, YES,152,4,0.026
AGAIN, TWICE, YES,152,4,0.026
