"","V1"
"229",7.13539366556407
"230",7.14278399397125
"231",7.1841172362992
"232",7.1720823989223
"233",7.17753997674684
"234",7.22152010853615
"235",7.25278941312546
"236",7.25278941312546
"237",7.28651222871125
"238",7.3144607607937
"239",7.35930848158568
"240",7.36638875217563
"241",7.38437022583809
"242",7.42944834230082
"243",7.48879835007622
"244",7.47525097736576
"245",7.51046027439637
"246",7.57491705080571
"247",7.61183274644499
"248",7.62111743113982
"249",7.65506432936654
"250",7.6573349884678
"251",7.69096051802313
"252",7.71718947250403
"253",7.74791932341356
"254",7.7824408006665
"255",7.81273836187688
"256",7.85349464540167
"257",7.86850879318552
"258",7.87204276855959
"259",7.90848010882966
"260",7.94263667768651
"261",7.98361954990687
"262",8.02235430182978
"263",8.02235430182978
"264",8.05380978362371
"265",8.08076945718296
"266",8.12348423307047
"267",8.15605843069364
"268",8.19334791040915
"269",8.18241756085891
"270",8.19380545066382
"271",8.2134893247462
"272",8.23774140113893
"273",8.27108033164673
"274",8.29383658168292
"275",8.3030648911959
"276",8.35703415655791
"277",8.35672560975054
"278",8.38605869563461
"279",8.3915972150398
"280",8.41568057635476
"281",8.44390654481828
"282",8.44390654481828
"283",8.45632480341851
"284",8.47023386702252
"285",8.50959776891467
"286",8.52326582678114
"287",8.50335233029273
"288",8.51277530397146
"289",8.53616464020555
"290",8.53616464020555
"291",8.57569897523027
"292",8.57113106197811
"293",8.61210304296396
"294",8.61210304296396
"295",8.65218000452744
"296",8.67588708297542
"297",8.68480617003888
"298",8.69640140495915
"299",8.74721359644962
"300",8.79345300110108
"301",8.83168190417923
"302",8.84416437251713
"303",8.88146525788085
"304",8.92091595110383
"305",8.92367614676218
"306",8.95639089544197
"307",8.98483221820248
"308",9.01504126508139
"309",9.05915451413828
"310",9.05915451413828
"311",9.09490834460707
"312",9.13388413204545
"313",9.14673130903837
"314",9.19280061538434
"315",9.21135639282181
"316",9.21607117963615
"317",9.24691539827323
"318",9.26235465244951
"319",9.29745061548766
"320",9.32612547614945
"321",9.31027216491854
"322",9.31027216491854
"323",9.31632077109316
"324",9.32475540033742
