"","V1"
"222",1.28824289405685
"223",1.28861580474484
"224",1.29180230837526
"225",1.29180230837526
"226",1.29387122449835
"227",1.29315068493151
"228",1.29284245166598
"229",1.29187558599323
"230",1.29341897951763
"231",1.29304131966688
"232",1.29619047619048
"233",1.29726647000983
"234",1.29597286655491
"235",1.29542468506067
"236",1.29542468506067
"237",1.2950279629204
"238",1.29515853426998
"239",1.29422172030868
"240",1.2961262875056
"241",1.29676631641261
"242",1.29573383221452
"243",1.2949263502455
"244",1.29848539487919
"245",1.29843381248659
"246",1.29709605361132
"247",1.29650856158363
"248",1.29811715481172
"249",1.29744121715076
"250",1.29937244950448
"251",1.29857497534265
"252",1.2987924171895
"253",1.29882903981265
"254",1.29829102372656
"255",1.29785063032817
"256",1.29727700143659
"257",1.29741546832491
"258",1.29940562248996
"259",1.29890039840637
"260",1.29877316132296
"261",1.29810527636615
"262",1.2974386106875
"263",1.2974386106875
"264",1.29686583294735
"265",1.29727328431373
"266",1.29675340466926
"267",1.29599131300335
"268",1.29565113286044
"269",1.2989901989902
"270",1.29976422045388
"271",1.30048843262847
"272",1.30116390444954
"273",1.30095633137458
"274",1.3008576329331
"275",1.30234075755426
"276",1.30125876488975
"277",1.3033428363799
"278",1.30302946235366
"279",1.30433705080545
"280",1.3049610496105
"281",1.30480790102019
"282",1.30480790102019
"283",1.30548373195432
"284",1.30614154701746
"285",1.30545454545455
"286",1.3062977602108
"287",1.31015539161827
"288",1.31143027816014
"289",1.3115700987597
"290",1.3115700987597
"291",1.31075268817204
"292",1.31278596847992
"293",1.31208197672951
"294",1.31208197672951
"295",1.31165576523068
"296",1.31209874085502
"297",1.31319495922906
"298",1.31402281928598
"299",1.313369557272
"300",1.31259678668215
"301",1.31199538638985
"302",1.31239708865291
"303",1.31195639293755
"304",1.31134962105164
"305",1.3125204544392
"306",1.31206612337768
"307",1.3116338060648
"308",1.31184150251947
"309",1.31115206115206
"310",1.31115206115206
"311",1.31071339796172
"312",1.30984714147831
"313",1.31059085841695
"314",1.30983388704319
"315",1.31070823524235
"316",1.31221996371823
"317",1.31172919923571
"318",1.31253235547886
"319",1.31186113789778
"320",1.31189457324732
"321",1.3143745505309
"322",1.3143745505309
"323",1.31578615559198
"324",1.31713122455371
"325",1.31778861113992
"326",1.31702943358892
"327",1.31764561317277
"328",1.31912252497914
"329",1.3190779496512
"330",1.31834438416717
"331",1.31793315497345
"332",1.32105231831439
"333",1.32170107056249
"334",1.32117946708464
"335",1.32063862928349
"336",1.31988545113291
"337",1.31896236755572
"338",1.31856056262661
"339",1.31773979107312
"340",1.31690420009438
"341",1.31665447177351
"342",1.31569329454762
"343",1.31699903625176
"344",1.31726996407847
"345",1.31639659434221
"346",1.31552797291887
"347",1.31612938239444
"348",1.31745517973063
"349",1.31661453212977
"350",1.31622245913291
"351",1.31664193867458
"352",1.31791126016189
"353",1.31987572219022
"354",1.32087454450807
"355",1.32206313610488
"356",1.3212601395963
"357",1.32037576935536
"358",1.3196996406536
"359",1.32035726322885
"360",1.31986261204658
"361",1.32090086788493
"362",1.32051409453775
"363",1.32076869874518
"364",1.32032746623005
"365",1.31969067969068
"366",1.32099844599845
"367",1.32194823590008
"368",1.32246602967302
"369",1.32313201241346
"370",1.3233581262858
"371",1.32401724734838
"372",1.32344334381797
"373",1.32305753100636
"374",1.32225317239245
